date,Open,Close,Average,High,Low,Volume,NextOpen
4/1/2022 9:30,174.0299988,173.25,173.6554985,174.8320007,172.5099945,19981502,173.25
4/1/2022 10:30,173.25,172.9250031,173.2400017,174.0200043,172.7649994,8802828,172.9205933
4/1/2022 11:30,172.9205933,172.8500061,172.6621246,172.9378967,171.9400024,8412658,172.8399963
4/1/2022 12:30,172.8399963,172.3350067,172.5287514,172.8399963,172.1000061,5839137,172.3350067
4/1/2022 13:30,172.3350067,173.3549957,172.8237495,173.4049988,172.1999969,6672519,173.3500061
4/1/2022 14:30,173.3500061,173.0350037,173.251255,173.7400055,172.8800049,7992811,173.0310974
4/1/2022 15:30,173.0310974,174.2599945,173.6765251,174.6450043,172.7700043,10178083,174.5700073
4/4/2022 9:30,174.5700073,177.3600006,176.1450043,178.2100067,174.4400024,22098890,177.3600006
4/4/2022 10:30,177.3600006,177.6450043,177.3937492,177.8399963,176.7299957,10059372,177.6499939
4/4/2022 11:30,177.6499939,177.6600037,177.5626488,177.8305969,177.1100006,6683479,177.6649933
4/4/2022 12:30,177.6649933,177.229599,177.374897,177.6849976,176.9199982,5749349,177.2299957
4/4/2022 13:30,177.2299957,177.4900055,177.3387527,177.6150055,177.0200043,5992490,177.4900055
4/4/2022 14:30,177.4900055,178.2899933,177.8754997,178.3000031,177.4219971,8353363,178.2899933
4/4/2022 15:30,178.2899933,178.4649963,178.3062477,178.4900055,177.9799957,9712315,177.5
4/5/2022 9:30,177.5,176.9098969,177.2299767,178.3000031,176.2100067,18970044,176.9049988
4/5/2022 10:30,176.9049988,176.4900055,176.6762505,177.1100006,176.1999969,9399966,176.4900055
4/5/2022 11:30,176.4900055,175.2649994,175.8825035,176.5500031,175.2250061,7666969,175.2649994
4/5/2022 12:30,175.2649994,175.6419983,175.5067482,176.1199951,175,6917972,175.6490936
4/5/2022 13:30,175.6490936,175.3800049,175.4272728,175.75,174.9299927,5579360,175.3800049
4/5/2022 14:30,175.3800049,174.8600006,175.0362511,175.4900055,174.4149933,7493675,174.8500061
4/5/2022 15:30,174.8500061,175.0399933,174.8875008,175.2200012,174.4400024,7947093,172.3600006
4/6/2022 9:30,172.3600006,171.1300049,171.9125023,173.1399994,171.0200043,21718850,171.1300049
4/6/2022 10:30,171.1300049,170.8350067,170.9187546,171.5800018,170.1300049,11354344,170.8399963
4/6/2022 11:30,170.8399963,170.9750061,171.0112534,171.7400055,170.4900055,7839538,170.9700012
4/6/2022 12:30,170.9700012,171.7100067,171.3153801,171.7100067,170.8715057,5695053,171.7200012
4/6/2022 13:30,171.7200012,171.3800049,171.8600006,173.4100037,170.9299927,11187310,171.3699951
4/6/2022 14:30,171.3699951,171.6699982,172.0024986,173.6300049,171.3399963,11178009,171.6750031
4/6/2022 15:30,171.6750031,171.6000061,171.9237518,172.9100037,171.5099945,9910809,171.1600037
4/7/2022 9:30,171.1600037,172.0800018,171.8525009,173.1399994,171.0299988,16955783,172.0850067
4/7/2022 10:30,172.0850067,170.8600006,171.4887505,172.3899994,170.6199951,9035411,170.8600006
4/7/2022 11:30,170.8600006,170.8999939,170.9249992,171.5350037,170.4049988,7261185,170.8899994
4/7/2022 12:30,170.8899994,171.1900024,170.8238258,171.3652954,169.8500061,8298192,171.1950073
4/7/2022 13:30,171.1950073,171.6799927,171.482502,172.2550049,170.8000031,6745602,171.6600037
4/7/2022 14:30,171.6600037,172.6522064,172.2455521,173.1799927,171.4900055,8432965,172.6600037
4/7/2022 15:30,172.6600037,172.1699982,172.5175018,173.3600006,171.8800049,9110660,171.7799988
4/8/2022 9:30,171.7799988,170.2799988,170.7599983,171.7799988,169.1999969,19362722,170.2700043
4/8/2022 10:30,170.2700043,170.8999939,170.5374985,171.3600006,169.6199951,11416468,170.9199982
4/8/2022 11:30,170.9199982,171.6549988,171.1702499,171.7700043,170.3359985,8127821,171.6499939
4/8/2022 12:30,171.6499939,170.8200073,171.2387276,171.7299042,170.7550049,5203255,170.8200989
4/8/2022 13:30,170.8200989,169.9501038,170.3674774,170.8697052,169.8300018,6723027,169.9600067
4/8/2022 14:30,169.9600067,170.7400055,170.3625031,170.9700012,169.7799988,8143033,170.75
4/8/2022 15:30,170.75,170.1399994,170.3925018,170.8600006,169.8200073,8532762,168.7100067
4/11/2022 9:30,168.7100067,166.4799957,167.6462517,169.0299988,166.3650055,19251032,166.4900055
4/11/2022 10:30,166.4900055,166.4400024,166.5175018,167.0399933,166.1000061,8804591,166.4400024
4/11/2022 11:30,166.4400024,166.5599976,166.6512489,167.2050018,166.3999939,6208228,166.5500031
4/11/2022 12:30,166.5500031,166.9100037,166.8675041,167.4600067,166.5500031,6214791,166.9100037
4/11/2022 13:30,166.9100037,166.6649933,166.8287506,167.25,166.4900055,5672112,166.6600037
